" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Oregon Jerusalem Historical Society., 1133 Grasser, Oregon,OH,43616,419/693-7052,,, , 10 am - 2 pm. on Thursdays (except holidays).,"Have a Society library that is open to the public. Nationally acclaimed painting by Gilbert Gaul, Battle of Cold Harbor""",1846 on display. Speakers are available. Military exhibit with displays from the Civil War to present, one-room school restored," and horse barn.""", http://www.ojhs.org ,,,,
 Catholic Church. Diocese of Toledo (Ohio) Marriage and Family Life, 1933 Spielbusch Ave., Toledo,OH,43604,419/244-6711 Ext. 4918,Fax 419/244-4860,Monica Martinez, ," 9 am-5 pm, M-F.","Parenting/Dating/Theology of the Body, Fertility Awareness/Natural Family Planning/Creighton Model- Fertility Care System, Re-marriage & marriage preparation, marriage & family enrichment, marriages & families in relational distress, ministry to divorced and separated. In general provide assistance to parishes and individuals, and advocate to other leadership on marriage & family issues. Provides resources, presentations, training, and support relating to strengthening marriages and families.", ,,,,,,,
 River East Associates., 230 Main St, Toledo,Ohio,43605,419/693-0840,Fax: 419/693-7975,"Dan Steingraber,",Chairman ," 9 am-5 pm, M-F.","A voluntary association of merchants and professionals in the River East business district (and friends), dedicated to strength through cooperation thereby strengthening each business and instilling pride in the East Side. Provide co-op advertising - low cost, promotional materials through special events, such as Annual Christmas Parade, Christmas Coloring Contest, and many more. Monthly meetings of the membership and monthly board meetings.", ,,,,,,,
 Sobriety Through Other People (STOP)., 1100 Jefferson Ave., Toledo,OH,43604,419/213-6120,Fax 419/936-8151,Tom Pokorny,Probation Officer , ,Alcoholics Anonymous - Friday at noon. Cocaine Anonymous - Tuesday at noon and Thursday at 7 pm.- All these scheduled meetings are open to the public., ,,,,,,,
 Toledo (Ohio). Department of Police Operations. Community Service Section, 2301 Nebraska Ave, Toledo,OH,43607,"419/936-3444, [Scott Park] 419-245-1119 [Central]",,Cheryl Hunt,cheryla.hunt@toledo.oh.gov , ,"Offers programs and presentations which include Block Watch, Crime Prevention Personal Safety and the Safe-T-City program. ", ,,,,,,,
 Toledo Area Sanitary District., 5015 Stickney Ave, Toledo,OH,43612,419/726-7891,Fax 419/726-7721,Paul Bauman,Biologist ," 8:30 am-3:30 pm, Monday-Friday.",Mosquito control for Lucas County residents., http://tasd-mosquitos.org ,,,,,,,
 University of Toledo. Program 60, 2801 W. Bancroft Mail Stop 343, Toledo,OH,43606,419/530-3142,,Dale Pelz,Academic advisor ," 8:30 am-5 pm, M-Th and Fri, 8:30 am-4:30 pm, ",Educational opportunities for individuals age of 60 and over. | Allows those who qualify to audit courses on a space available basis. , ,,,,,,,
 German American Festival Retiree Club., 7146 Venetion Bay Court, Maumee,OH,43537,419-878-3855,,Red Hardt,redhardt1033@aol.com ," Oakshade Grove, G.A.F. Hall, Oregon, Ohio 9am - 3pm every Wednesday.","Offer fellowship, bingo, cards, euchre, pinochle and German card games, line dancing, bus trips. | Some members just visit with others, and lunch is served for $4/per person. At times we have a speaker. ", ,,,,,,,
 Youth Leadership Toledo., 316 Adams St, Toledo,OH,43604,419/241-7371,Fax 419/241-9945.,, , Hours are flexible.,"Community awareness, education, networking, volunteer involvement. | To foster leadership involvement by developing an awareness of community need and opportunities.", http://www.leadershiptoledo.org/youth-programs-1 ,,,,,,,
 Children's Outreach Ministries., 10558 Frankfort Rd, Holland,OH,43528,419-829-1001,,, ," 9 am-5 pm, M-F.","Provide after school programs for children ages 6-12, stressing Christian character, positive attitude, and respect for authority, peaceful conflict resolution. Programs held at various elementary schools in area (27 schools).", http://www.comkidsclub.com ,,,,,,,
 Share A Ride., 300 Dr. Martin Luther King Jr. Dr., Toledo,Ohio,43602,800/ 241-1919,Fax: 419/241-9040,David Gideon, ," 8:00 am-5:00 pm, Monday - Friday.",Free computerized carpool and vanpool matching system that helps individuals find interested carpool partners that live and work near them., http://www.sharearide.org ,,,,,,,
 Toledo Firefighters Museum., 918 West Sylvania Ave, Toledo,OH,43612,419/478-FIRE,,"John Repp,",Curator. ," 12 noon-4:00 pm, Saturday or by appointment.","The purpose is to collect, preserve and display the history of the Toledo Fire service while educating the public about the fire service, fire prevention and home fire safety. Educational tours and safety programs by appointment are available to groups.", http://www.toledofiremuseum.com ,,,,,,,
 Toledo Industrial Recreation and Employee Services Council., P O Box 167376, Oregon,Ohio,43616,419-690-4020,FAX: 419-691-5060,"Susan Donahue,",Contact. , Vary month to month. Most meetings are 11:30-1:00.,Industrial recreation, http://www.tirestoledo.org ,,,,,,,
 Toledo Opera Association., 425 Jefferson Ave. Suite 601, Toledo,OH,43604-1066 ,419-255-7464,Fax 419-255-6344,, , 9am - 5pm M-F.,"Main stage series consisting of three productions at the Valentine Theatre. Education and Outreach Program brings staged productions to schools in NW Ohio and SE Michigan. Over 20,000 students. Student nights at the Opera bring Junior and Senior High students to performances at the Valentine Theater.", www.toledoopera.org ,,,,,,,
 Toledo Sail and Power Squadron., 3546 Williamsburg Drive, Oregon,OH,43616,419-297-7420,,James Sommers, , 1st Tues/Month 7:30 pm. Toledo Yacht Club and other locations.,"Non-profit boating fraternal organization. | Offers spring and fall safe boating courses to the general public. Features cruises, civil service and fun.", http://toledopowersquadron.org ,,,,,,,
 Toledo Repertoire Theatre., Theatre location - 16 Tenth St, Toledo,OH,43604,419 243-9277,,Kathleen A. McGovern, ," 10am-4 pm, M-F. Office","Community theatre, education classes, armchair theatre, teaching children's theatre. Young playgoers series and school tours, rep educational classes, children and adults. ", http://www.toledorep.org ,,,,,,,
 Toledo Symphony Orchestra Ensembles., P O Box 407, Toledo,OH,43697-0407 ,419/241-1272,Fax 419-321-6890,"Joan Weiler,",Ensemble Sales , 9 am-5 pm.,"Ensemble performances for private, corporate, educational, public. | String Quartet, Brass Quintet, Jazz Trio, Percussion Quartet, Woodwind Quintet, Harp Soloist, Harp and Flute Duo.", ,,,,,,,
 Toledo Animal Shelter Association., 640 Wyman Street, Toledo,OH,43609,419/382-1130,Fax 419/382-7248,Helen Bensch,Executive Director ," Daylight Savings-9 am - 6 pm Mon., Tues., Thursday and Friday, 9 am - 3 pm on SaturdayEastern Standard-9 am - 5 pm M-F except Wed., 9am - 3pm on Saturday, Sunday - 12-4. Closed Wednesday.","For over 80 years, the Toledo Animal Shelter has been the area's leading no-kill animal rescue facility, committed to finding homes for every dog and cat entrusted to our care. None of our animals are euthanized, except for incurable medical conditions. A Lost & Found link on website, allows pet-owners to list description and photo of lost pet.", http://www.toledoanimalshelter.com ,,,,,,,
 Toledo Symphony., P. O. Box 407, Toledo,OH,43697-0407 ,419/241-1272,Fax 419/321-6890,, ," 9 am-5 pm, M-F.","Diverse concert music offered throughout the year. | Ensemble groups available for weddings, corporate events, and educational school programing, including a Music School with students as young as 3 years.", http://www.toledosymphony.com/ ,,,,,,,
 University of Toledo. Jack Ford Urban Affairs Center, 2801 Bancroft #218, Toledo,OH,43606,419/530-3593,,, ," 9 am-5 pm, M-F.","Applied Research, Technical Assistance, Education/Training, Data and GIS Services, and survey work. | Works with local governments and nonprofits to find solutions to community problems. | Works with local governments, social service agencies, neighborhood groups and others to develop and promote policies and programs that will help revitalize and stablize urban areas.", http://uac.utoledo.edu ,,,,,,,
 United States Coast Guard Auxiliary Division XVI," Bass Pro Shop, Rossford, Ohio", Toledo,OH,43611,419-283-7297,,, ," Third Thursday each month, 6:30 pm.","Safe boating and public education classes, courtesy marine examination, assisting the Coast Guard with search and rescue operations.", http://www.cgaux.org ,,,,,,,
 Waterville Historical Society., P O Box 263, Waterville,OH,43566,419/878-8695,,, , ,"Society owns and operates two museums which represent a typical pre-Civil War home by their furniture, utensils, decorations, clothing, etc. Society also owns a third building where meetings and programs that are free and open to the public are held. This building also houses the Archival Research Center. The center is open to all by appointment. Walking tours of the historical district are available as docent-led or with self-guided brochure.", ,,,,,,,
 Whitehouse Historical Society., P. O. Box 2571, Whitehouse,OH,43571,419-877-5383,,, , No regular hours,"Tours of Whitehouse 1840 Log House"" and museum.""", http://www.whitehouseohiohistorica/society.org ,,,,,,,
 Wolcott House Museum Complex, 1035 River Rd, Maumee,OH,43537,419/893-9602,Fax 419/893-3108,, , Tuesday. - Friday 9am - 2pm.Tours Saturday & Sunday 12pm - 2pm. Call to schedule group tours during the week.,"Education, preservation, conservation, museum complex consisting of Wolcott House (circa 1830), church, depot and caboose, saltbox farm house, one-room schoolhouse (1850's) and log house; educational programs; and publications.", ,,,,,,,
 Foundation for Life., 3454 Oak Alley Ct. Suite 211," Toledo,",OH,43606,419/535-5800,Fax: 419-535-5565.,, , Monday thru Friday - 8:00 am. to 5 pm.,The Foundation for Life is a non-denominational educational organization (a 501(c)3 charity) dedicated to promoting the sanctity of human life from conception through natural death. Our task is to present the facts on right-to-life issues of our time., http://www.fflnwo.org ,,,,,,,
 Educational Talent Search Program., 318 A. Math Science Building., ,OH,43403,419/372-2381,Fax 419/372-0399,, ," 8:00 am-5 pm, Monday-Friday.","Academic advising and counseling, admission assistance, financial aid advising and application assistance. | ACT/SAT test preparation, tutorial assistance, and career development. | Post secondary school information. | Personal counseling provided to any participant when needed.", https://www.bgsu.edu/trio-programs/educational-talent-search.html ,,,,,,,
 Campaign For Migrant Worker Justice, 1221 Broadway, Toledo,OH,43609,419/243-3456 ext 2,,Ramon Perez,Organizer ," 9 am-5 pm, M-F.","CMWJ seeks to empower migrant workers and assist them to achieve self-determination and human rights through effective community organizing, direct services, education, and advocacy programs. Current projects include know your rights, health and safety and related trainings for migrant worker; leadership development; transnational migrant worker education through our office in Monterrey, Mexico; a mobile Migrant Family Health Clinic in collaboration with area hospitals and doctors, mostly in summer; Immigration Legal Services and immigrant rights advocacy; and a Worker Center to facilitate recent immigrants intergration into our community. ", http://www.cmwj.org ,,,,,,,
 Heartbeat of Toledo.," 4041 W. Sylvania Ave. | Branch office: 1020 Varland, Toledo, OH 43605"," Toledo,",Ohio,43604,419-241-9131 (Madison). 419-691-1988 (Varland) (419) 720-3338 (Your First Look),,,Pat Todak [Exec. Dir.] , ,"Offers alternative to abortion through education and positive supportive action. | Free pregnancy tests, help in procuring social and medical services, legal advice referral, clergy counseling referral. | Referrals to state pregnancy centers, to network of out-of-city or state pregnancy centers and/or maternity homes. | Newborn layettes, baby furniture, and 0-2 toddler clothing.'Heart to Heart', lessons for expectant/new mothers. Runs clinic Your First Look, Ste LL5. http://yourfirstlook.org", http://www.heartbeatoftoledo.org ,,,,,,,
 University of Toledo Medical Center. Department of Rehabilitation Services. , 3065 Arlington Ave., Toledo,OH,43614,"419-383-5040, 419-383-4022 (Call for doctor appoi",FAX: 419-383-3184,Jeff McAnally,Director of Rehabilitation Services. ," 24 hour care, seven days a week, 365 days a year.","Out patient rehabilitation hospital for brain injury, spinal cord injury, orthopedic, neurological disorders, arthritic conditions, multiple traumas and amputees. We offer physical therapy, occupational therapy, speech therapy, neuropsychological testing and counseling, and vocational rehabilitation counseling.", http://www.utmc.utoledo.edu/centers/rehab/index.html ,,,,,,,
 National Reye's Syndrome Foundation., 426 N Lewis St, Bryan,OH,43506-0829 ,800-233-7393,Fax 419-924-9999,Cathy Zraik,Office Manager. ," 9:30am-5pm, Mon-Fri. Answering machine after hours.",Provides funding for research. | Distributes awareness to medical and general public. | Provides counseling and support to victims and their families. | Requests can be made for public speakers. Documents are available for loan or purchase. Brochures and pamphlets are available free of charge in quantities under 1 doz. minimal charge for larger orders., http://www.reyessyndrome.org ,,,,,,,
 Toledo Campus Ministry., 2086 Brookdale Rd., Toledo,OH,43606,419/536-4865,,Rev. David Montgomery,Exec. Dir. ," 10 am-4:30pm, M-F.","An ecumenical Protestant organization. | Pastoral and religious services to students, faculty, and staff at UT. | Sponsor student religious group", http://www.TCMFellowship.org ,,,,,,,
 Toledo Regional Chamber of Commerce., 300 Madison Ave. Suite 200, Toledo,OH,43604,419/243-8191,Fax 419/241-8302,, ," 8:30 am-5 pm, M-F.","Small Business Development Center - counseling for start-up and existing business. Business networking opportunities. | Economic development, business retention. | Public affairs, local, state and federal business.", http://www.toledochamber.com ,,,,,,,
 Catholic Church. Diocese of Toledo (Ohio) Media Library, 1933 Spielbusch Ave, Toledo,OH,43604,419/244-6711-ext. 4925,Fax 419/244-4791,, , 9:00 am-4:30 pm.,We lend videos and DVDs of interest to Catholics, http://www.toledodiocese.org ,,,,,,,
 Toledo-Lucas County Port Authority., One Maritime Plaza, Toledo,OH,43604-1866 ,419/243-8251,Fax 419/243-1835,Holly Kemler,Director of Communication. , 8am - 5pm.,"Is the lead transportation agency for the Toledo Lucas County area. | Works with businesses, government, utilities, educational institutions and chambers of commerce. ", http://www.toledoportauthority.org ,,,,,,,
 University of Toledo Medical Center. Geriatric Center, 3355 Glendale Ave., Toledo,OH,43614,419/383-5610,Fax 419/383-5618.,, , 8:30 am-5 pm. Monday - Friday,"A primary care medical outpatient clinic for the comprehensive evaluation and management of health problems of the elderly. | Health promotion and health education programs/presentations on topics related to healthy aging"" are available.""", ,,,,,,,
 Toledo Bar Association , 311 N Superior St, Toledo,OH,43604,419-242-9363,,, ," 8:30 am-4:30 pm, M-F.","Professional organization for attorneys, founded in 1878, serving the bench and bar in Lucas and Wood Counties.", ,,,,,,,
 Toledo (Ohio). Department of Fire and Rescue Operations., 545 N Huron St, Toledo,OH,43604,419/245-1125,Fax 419/245-1296,, ," 8 am-4:30 pm, M-F offices. Fire Prevention Bureau 8 am. - 4 pm.","Fire suppression, emergency medical services, hazardous material response, arson investigation, fire safety inspections, water rescue, fire safety education, trench and confined space rescue and fire prevention. | Arson Investigation, Fire Prevention, Building Fire and Safety Inspections, and Hazardous Material Response.", http://www.ci.toledo.oh.us ,,,,,,,
 Toledo (Ohio.) Department of Police Operations., 525 N Erie St, Toledo,OH,43604,419/245-3246,,, , 24 hours per day.,"Police services plus school safety, community relations, and crime prevention programs. | Crime stopper program in conjunction with media and citizens, a reward program to help obtain leads in unsolved crimes.", http://www.toledopolice.com ,,,,,,,
 Toledo (Ohio). Department of Economic Development, One Government Center #2200, Toledo,OH,43604,419/245-1286,,Aggie Dahar,Manager of Special Projects ," 8 am-4:45 pm, M-F.","Economic Development is responsible for all loan programs for the retention, expansion, recruitment of business. Include HUD Economic Development Loan Program, Enterprise Zone Tax Abatement program, CRA Tax Abatement Program, and Job Creation Tax Credit.", ,,,,,,,
 Ohio Action for Healthy Kids, 3550 Woodmont Rd., Toledo,OH,43606,,,"Jan Meyer CFCS,",Jan.Meyer@odh.ohio.gov ," Varied, leave message.",An initiative dedicated to improving the health and educational performance of children through better nutrition and physical activity in schools., www.ohioactionforhealthykids.org ,,,,,,,
 Greater Toledo Obedience Training Club., , ,, ,,,, ," Meeting places vary, Fridays 6pm, 6 times per year year","Put on 4 obedience trials and 6 agility trials per year at Tam-O-Shanter, Sylvania.", http://www.gtotc.org ,,,,,,,
 Maumee Valley Thunderbirds. Chapter 70., , ,, ,419-531-1092,,Jack Orcutt,e-mail: mvtc70@hotmail.com ," Various locations, 2nd. Sunday, 1:00 pm.; call for further details.",Dedicated to the establishment and the preservation of the two passenger Ford T-Bird as one of the Classics of American auto history., http://www.mvtc.info ,,,,,,,
 Porsche Club of America., , ,, ,,,, , Please see our website for the latest meeting info,"To develop safe driving habits, care of your sportscar, enjoy driving events such as rally's, autocrosses, color tours, and drivers education at the mid-Ohio race track. | To meet Porsche drivers from other regions for social and educational purposes.", http://www.pca.org ,,,,,,,
 Rossford Business Association., Last Wednesday at 8am. or noon. Call for location., ,, ,419-720-4701,,Brenda Schwind [President], , ,"The purpose is to promote interest and business in Rossford and the Rossford School District. | To cooperate among members to promote their welfare and share business knowledge for mutual benefit; collectively boost the community to attract customers, citizens and businesses.", http://www.rossfordba.com ,,,,,,,
 AAF Toledo, 1600 Madison Ave., Toledo,OH,43604,419-473-9000,Fax: 419-866-3746,Patty Schoepf,President ," Toledo Club, third Wednesday each month (except July & August), 12 noon.","An organization of advertising and marketing professionals dedicated to the betterment of advertising and the community in which it exists. | Annual ADDY Award Show, Auction, Public Service Seminar and Project, and monthly luncheon meetings.", http://aaftoledo.org ,,,,,,,
 Bereaved Parents Support Group.," First Presbyterian Church, 200 East Second Street., Perrysburg, Ohio 43551", ,, ,,,, , 7:00 pm. 2nd Tuesday each month.,This support group is open to all bereaved parents who have experienced death of a child of any age. Siblings are welcome too., ,,,,,,,
 Toledo Area Weavers Guild., First Unitarian Church. 3205 Glendale, Toledo,OH,43614,,,Shelly Hopson buckeye_17@yahoo.com,President ," 1st. Tuesday of the month, 7 p.m. - call ahead.","Brings weavers together in an effort to exchange ideas and mutual encouragement. | Aims to stimulate knowledge and creative skill in handweaving and the fiber arts. | Monthly programs, workshops, exhibits, sales and demonstrations.", ,,,,,,,
 United States Daughters of 1812. Peter Navarre Chapter, 526 Hyannis Port Circle, Avon Lake,Ohio,44012,440-930-7681,,Mrs. Deborah Marisch,deb@spfutures.com ," 2nd Saturday Oct., Dec., April, and June.","Purpose is to promote patriotism, to preserve and increase knowledge of the history of the American people. | Preservation of documents and relics, marking of historic spots. | Recording of family histories and traditions, celebration of patriotic anniversaries, teaching and emphasizing heroic deeds.", ,,,,,,,
 Bancroft Hills Neighborhood Association., St. Francis High School. 2328 W. Bancroft., Toledo,OH,43607,,,, ," First Monday each month, 7pm. except holidays, Dec., Jan. and July.","Purpose is to promote a safe, healthy place to live for our diverse group of residents. Largest annual project is a neighborhood picnic. On-going project is encouraging communication between UT students and other residents. ", ,,,,,,,
 Zion Christian Preschool., 22 N. Second St., Waterville,OH,43566,419/878-3026.,,Carole Garrett,Administrator. ," 3 year old class T and Th 9-11:30; 4 & 5 year olds M-W-F 12:30-3 pm, also 9 -11:30 am.","Free play time, storytime, art, snack, large motor skills (with balls, hoops, scarves, bean bags, etc.) music, unit themes. Snack provided by parents.", ,,,,,,,
 Agency Directors Association., , ,, ,,,Robin Isenberg,"Treasurer. c/o NAMI of Greater Toledo. 2753 W. Central. Toledo, OH 43606 ", Date and time not stated.,"The purpose is to enhance communication, cooperation and collaboration among social service agencies and also provide opportunities for study, discussion and action regarding current issues.", ,,,,,,,
" Garden Club Forum of the Toledo District, Inc.", 5403 Elmer Dr., Toledo,OH,43615,419-893-9549,,, , ,"Coordinate the interests of the garden clubs of Toledo and surrounding communities, promote interest in and increase the knowledge of horticulture and related activities by its members. Encourage the organization of new garden clubs and study groups. Further civic and state beautification. Promote beautification, conservation and prudent use of natural resources. Encourage the development of home gardening and floral design. Scholarship for horticulture students.", http://www.gardenclubforum.org ,,,,,,,
 Country Garden Club., , ,, ,419-873-8124,,Clara Gorski, ," Meet at members' homes, second Monday, Sep thru June, 10:00 am.","Interest is community beautification and preservation,conservation, horticulture. Projects include the: W.W. Knight Nature Preserve, landscaping parks, and decorating downtown Perrysburg and summer hanging baskets at Christmas. Also responsible for landscaping gateways to Perrysburg. Fundraiser is Holiday Trunk show in October. Mission is to promote knowledge of horticulture and preservation, and to enhance our community's natural environment.", ,,,,,,,
 Euterpean Club., , ,, ,,,, ," Members' homes, 4th Tuesday each month ",To encourage and support the art of music among the members and the community. | To create and maintain a bond of friendship and understanding in the common interest. | To advance the standard of performance of the members in both solo and ensemble work., ,,,,,,,
 East Toledo Club., , ,, ,419-691-1429,,Julie McCann, ," Meet the third Thursday every month Sept. - May, location TBA.Luncheons begin at noon and end around 1:15p.m. ",A civic club organized for the purpose of obtaining a closer relationship socially and commercially among individuals and businesses of the east side., ,,,,,,,
 Daughters of the American Revolution. Fort Industry NSDAR., , ,, ,,,Brigette David,Recording Secretary ," Place varies, first Saturday most months, noon.","To perpetuate the memory and spirit of the men and women who achieved American independence; to develop an enlightened public opinion; and to foster true patriotism and love of country. | Support veterans, schools, scholarships and the American Indians.", http://www.fortindustrydar.org/ ,,,,,,,
 American Guild of Organists., Meet at various churches, ,, ,419-475-8629 ex.205,,Mark Mathias,Dean of the Chapter , Check website for meeting information.,"The mission of the American Guild of Organists is to enrich lives through organ and choral music. To achieve this we: Encourage excellence in the performance or organ and choral music. Inspire, educate, and offer cerification for organists and choral conductors. Provide networking, fellowship, and mutual support. Nurture future generations of organists. Promote the organ in its historic and evolving roles, and engage wider audiences with organ and choral music. Sponsors Pipe Dreams on WGTE 6-8am Sundays.", http://www.toledoago.org ,,,,,,,
 Alliance Francaise De Toledo.," Common Space, 1700 N. Reynolds Rd. Ste. 102", Toledo,OH,43615,419/537-9024,,Popi Grecos/School Director, , Hours vary.,"The purpose is to encourage the study of the French language, literature and culture and to promote activies in the field of education, the arts and entertainment. * To foster friendly relations between the French and the American people. * Instruction in the French language at various levels. Cultural events, lectures, recitals, films, etc.", http://www.aftoledo.com ,,,,,,,
